,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
0,1,Death Note,8.66,,https://myanimelist.net/anime/1535/Death_Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",Madhouse,"['Yamaguchi, Kappei', 'Miyano, Mamoru', 'Nakamura, Shidou', 'Hidaka, Noriko', 'Hirano, Aya', 'Sasaki, Nozomu', 'Nishimura, Tomohiro', 'Matsukaze, Masaya', 'Naitou, Ryou', 'Saito, Kimiko']",TV,2006
1,2,Shingeki no Kyojin,8.48,,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",Wit Studio,"['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Kobayashi, Yuu', 'Park, Romi', 'Shimamura, Yuu', 'Ono, Daisuke', 'Taniyama, Kishou', 'Fujita, Saki']",TV,2013
2,3,Sword Art Online,7.60,,https://myanimelist.net/anime/11757/Sword_Art_Online,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']",A-1 Pictures,"['Matsuoka, Yoshitsugu', 'Tomatsu, Haruka', 'Taketatsu, Ayana', 'Itou, Kanae', 'Hidaka, Rina', 'Hirata, Hiroaki', 'Takagaki, Ayahi', 'Hayami, Saori', 'Yamadera, Kouichi', 'Yasumoto, Hiroki']",TV,2012
3,4,Fullmetal Alchemist: Brotherhood,9.24,,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",Bones,"['Park, Romi', 'Kugimiya, Rie', 'Miki, Shinichiro', 'Fujiwara, Keiji', 'Nakamura, Yuuichi', 'Orikasa, Fumiko', 'Miyano, Mamoru', 'Utsumi, Kenji', 'Takamoto, Megumi', 'Takayama, Minami']",TV,2009
4,5,One Punch Man,8.71,,https://myanimelist.net/anime/30276/One_Punch_Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",Madhouse,"['Furukawa, Makoto', 'Ishikawa, Kaito', 'Nakamura, Yuuichi', 'Yuuki, Aoi', 'Kaji, Yuki', 'Hayami, Saori', 'Yasumoto, Hiroki', 'Hatano, Wataru', 'Onosaka, Masaya', 'Morikawa, Toshiyuki']",TV,2015
5,6,Tokyo Ghoul,7.99,,https://myanimelist.net/anime/22319/Tokyo_Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",Studio Pierrot,"['Kobori, Yurie', 'Amamiya, Sora', 'Kugimiya, Rie', 'Miyano, Mamoru', 'Sakurai, Takahiro', 'Toyonaga, Toshiyuki', 'Sakamoto, Maaya', 'Kaji, Yuki', 'Hanazawa, Kana', 'Namikawa, Daisuke']",TV,2014
6,7,Steins;Gate,9.14,,https://myanimelist.net/anime/9253/Steins_Gate,"['Thriller', 'Sci-Fi']",White Fox,"['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Seki, Tomokazu', 'Tamura, Yukari', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano']",TV,2011
7,8,Angel Beats!,8.29,,https://myanimelist.net/anime/6547/Angel_Beats,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",P.A. Works,"['Hanazawa, Kana', 'Sakurai, Harumi', 'Kitamura, Eri', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Rivas, Michael', 'Sawashiro, Miyuki', 'Saito, Fuko', 'Ogata, Megumi', 'Takagi, Shun']",TV,2010
8,9,No Game No Life,8.39,,https://myanimelist.net/anime/19815/No_Game_No_Life,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",Sunrise,"['Fukuyama, Jun', 'Yukana', 'Koshimizu, Ami', 'Sakurai, Takahiro', 'Narita, Ken', 'Orikasa, Fumiko', 'Shiratori, Tetsu', 'Minami, Omi', 'Nazuka, Kaori', 'Minagawa, Junko']",TV,2006
9,10,Naruto,7.89,,https://myanimelist.net/anime/20/Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Studio Pierrot,"['Takeuchi, Junko', 'Inoue, Kazuhiko', 'Sugiyama, Noriaki', 'Nakamura, Chie', 'Ishikawa, Hideo', 'Ishida, Akira', 'Canna, Nobutoshi', 'Mizuki, Nana', 'Ootsuka, Houchuu', 'Morikawa, Toshiyuki']",TV,2002
